STATUS,PARTIJ,PERSOON,BEGINLID,VOLGENDEFUNCTIE,ORGTYPE,ORGNAAM,BEGINANDERS,NEVENFUNCTIES,BRONNEN
,CDA,Hugo de Jonge,2017,"minister van Volksgezondheid, Welzijn en Sport en (eerste) viceminister-president, vanaf 26 oktober 2017",Minister,,,
,D66,Kajsa Ollongren,2017,minister van Binnenlandse Zaken en Koninkrijksrelaties in het kabinet-Rutte III,Minister,,,
,D66,Sigrid Kaag,2017,Minister voor Buitenlandse Handel en Ontwikkelingssamenwerking,Minister,,,
,CDA,Ferdinand Grapperhaus,2017,Minister van Justitie en Veiligheid,Minister,,,
,CDA,Wopke Hoekstra,2017,"Minister van Financiën, partijleider CDA",Minister,,,
,CDA,Ank Bijleveld ,2017,Minister van Defensie,Minister,,,
,VVD,Eric Wiebes,2014,NNB,,,,
,VVD,Bruno Bruins,2017,"interim-voorzitter Raad van Bestuur vervoersbedrijf HTM te 's-Gravenhage, van 28 september 2020 tot 1 september 2021",Bedrijf,voorzitter Bestuur Vervoersbedrijf HTM ,september 2020,
,,,,Bruno Bruins benoemd tot commissaris vaccininstituut Intravacc,Bedrijf,Vaccininstituut Intravacc,januari 2021,
,,,,"staatsraad, Afdeling advisering (Raad van State), vanaf 1 september 2021",Publieke domein,Lid Raad van State,september 2021,
,PvdA,Martin van Rijn,2012,"
Voorzitter Aedes, Nederlandse koepel van woningcorporaties, vanaf 1 september 2020",Brancheorganisatie & koepels,Aedes,september 2020,Tot zijn beëdiging als minister voor Medische Zorg en Sport in maart 2020 voorzitter van de raad van bestuur van ziekenhuisgroep Reinier Haga.
,D66,Hans Vijlbrief,2020,Staatssecretaris van Financiën,Minister,,,
,D66,Alexandra van Huffelen,2020,Staatssecretaris van Financiën,Minister,,,
,VVD,Barbara Visser,2017,Staatssecretaris van Defensie,Minister,,,
,ChristenUnie,Paul Blokhuis,2017,"Staatssecretaris van Volksgezondheid, Welzijn en Sport",Minister,,,
,PvdA,Bert Koenders,2014,"hoogleraar vrede, recht en veiligheid, Institute of Security and Global Affairs, Universiteit Leiden te 's-Gravenhage/, vanaf september 2019",Overige,Universiteit Leiden,2019,
,VVD,Henk Kamp,2010,"voorzitter bestuur ActiZ, vanaf 1 januari 2018 (branchevereniging van bijna 400 zorginstellingen)",Brancheorganisatie & koepels,ActiZ,2018,
,VVD,Ivo Opstelten,2010,"Owner, Opstelten Formatie",Zelfstandig adviseur,,,
,,,,Pensioen,Pensioen,Pensioen,2015,
,VVD,Melanie Schultz van Haegen-Maas Geesteranus,2010,"CEO (bestuursvoorzitter) Stichting Porticus (financiering projecten), vanaf april 2018",Brancheorganisatie & koepels,Stichting Porticus,april 2018,
,PvdA,Co Verdaas,2012,"
dijkgraaf waterschap Rivierenland, vanaf 1 april 2019",Publieke domein,Waterschap Rivierenland,april 2019,
